Video,Views,Yesterday,Published
Chris Brown - This X-Mas (Audio) ft. Ella Mai,"2,033,903",24,2017/12
"Chris Brown - Undrunk (Audio) ft. Too $hort, E-40","2,026,215",216,2020/05
Chris Brown - This Way (Audio),"2,024,123",192,2017/10
Chris Brown - Forbidden (Audio),"1,993,521",432,2022/06
"Chris Brown, Young Thug - I Ain't Tryin' (Audio)","1,975,908",336,2020/05
Chris Brown - Side Nigga (Audio),"1,944,916",192,2019/06
Chris Brown - Turn Up The Music / Beautiful People (54th GRAMMYs on CBS) ft. Benny Benassi,"1,920,221",168,2012/02
Chris Brown - Closer (Visualizer),"1,919,910","1,728",2023/11
Chris Brown - It's Giving Christmas (Audio),"1,866,038",72,2022/11
Chris Brown - Run It! (Live),"1,850,418",72,2014/10
Chris Brown - New Flame(Dave Audé Remix) [Audio] ft. Usher,"1,846,282",24,2014/10
"Chris Brown, Tyga - Ayo (Jason Nevins Remix) [Audio]","1,842,103",168,2015/02
Chris Brown - Won't Keep You Waiting (Lyric Video) ft. Mario,"1,839,251",984,2024/04
Chris Brown - Same St (Audio),"1,820,277",144,2017/12
Indigoat Tour (Behind The Scenes),"1,790,626",0,2019/08
"Chris Brown - Back To Sleep (Legends Remix) [Audio] ft. Tank, R.Kelly, Anthony Hamilton","1,716,824",192,2016/04
"Chris Brown, Young Thug - City Girls (Behind The Scenes)","1,678,674",24,2020/12
Chris Brown - Fine China (Behind the Scenes),"1,615,423",0,2013/04
Chris Brown - Special Delivery (Audio),"1,524,006",312,2022/07
Chris Brown - I Wanna (Audio),"1,484,869",72,2017/12
Chris Brown - New Flame feat. Usher & Rick Ross - Behind The Scenes,"1,475,928",24,2014/09
Chris Brown - Secret (Audio) ft. Solo Lucci,"1,463,717",48,2017/12
Chris Brown - Don't Slow Me Down (Audio),"1,440,252",48,2017/12
Chris Brown - Get Off (Audio),"1,423,213",48,2017/12
Chris Brown - Don't Wake Me Up - BTS,"1,398,141",24,2012/06
